customer_id,tenure_months,contract,monthly_charges,total_charges,tech_support,internet_service,payment_method,paperless_billing,support_tickets,churn
CUST-00065,16,One Year,90.79,1360.3,No,DSL,Mailed Check,No,0,0
CUST-00066,33,One Year,99.06,3231.91,Yes,Fiber Optic,Credit Card,No,2,0
CUST-00067,9,Month-to-Month,97.1,807.75,Yes,Fiber Optic,Credit Card,Yes,1,1
CUST-00068,39,Month-to-Month,40.36,1421.57,No,No,Electronic Check,Yes,0,0
CUST-00069,12,Month-to-Month,102.62,1185.72,Yes,Fiber Optic,Bank Transfer,No,0,0
CUST-00070,37,Month-to-Month,61.05,2147.77,No,DSL,Electronic Check,Yes,1,0
CUST-00071,46,Month-to-Month,51.12,2335.78,Yes,DSL,Electronic Check,Yes,0,0
CUST-00072,13,Two Year,65.77,805.69,No,Fiber Optic,Electronic Check,Yes,0,0
CUST-00073,8,Month-to-Month,90.78,663.46,Yes,No,Electronic Check,Yes,1,0
CUST-00074,59,Month-to-Month,83.51,4596.85,Yes,Fiber Optic,Mailed Check,Yes,2,0
CUST-00075,54,Month-to-Month,63.62,3227.02,Yes,Fiber Optic,Electronic Check,Yes,0,0
CUST-00076,19,Month-to-Month,90.94,1655.83,No,Fiber Optic,Credit Card,Yes,1,1
CUST-00077,64,One Year,73.5,4362.73,No,Fiber Optic,Credit Card,No,0,0
CUST-00078,16,One Year,55.68,850.82,Yes,Fiber Optic,Mailed Check,No,1,0
CUST-00079,67,One Year,52.3,3471.88,No,DSL,Electronic Check,Yes,3,0
CUST-00080,9,One Year,80.26,680.71,Yes,DSL,Credit Card,Yes,2,0
CUST-00081,48,Month-to-Month,67.94,3147.49,Yes,Fiber Optic,Electronic Check,Yes,1,0
CUST-00082,2,Two Year,35.61,65.73,Yes,Fiber Optic,Mailed Check,Yes,1,0
CUST-00083,15,Month-to-Month,91.18,1340.53,No,DSL,Electronic Check,Yes,0,1
CUST-00084,30,Month-to-Month,57.99,1612.64,Yes,No,Credit Card,No,3,0
CUST-00085,7,Month-to-Month,109.8,736.3,Yes,DSL,Electronic Check,Yes,0,0
CUST-00086,33,One Year,34.93,1072.03,No,Fiber Optic,Credit Card,No,0,0
CUST-00087,17,Month-to-Month,65.48,1009.35,No,Fiber Optic,Credit Card,Yes,2,0
CUST-00088,8,Month-to-Month,52.5,391.43,Yes,No,Credit Card,Yes,1,0
CUST-00089,70,Month-to-Month,45.61,2941.13,No,No,Credit Card,No,1,0
CUST-00090,71,Month-to-Month,57.83,4061.86,Yes,Fiber Optic,Bank Transfer,No,1,0
CUST-00091,70,One Year,114.26,7411.26,No,Fiber Optic,Credit Card,Yes,0,0
CUST-00092,12,Month-to-Month,73.58,880.7,Yes,Fiber Optic,Electronic Check,Yes,1,1
CUST-00093,28,Month-to-Month,50.21,1334.51,No,No,Credit Card,Yes,2,0
CUST-00094,24,Month-to-Month,24.28,537.33,No,Fiber Optic,Electronic Check,No,1,1
CUST-00095,24,One Year,26.97,607.88,Yes,Fiber Optic,Mailed Check,Yes,0,0
CUST-00096,30,Month-to-Month,56.59,1559.07,Yes,DSL,Mailed Check,Yes,1,1
CUST-00097,37,Month-to-Month,54.16,1970.59,Yes,Fiber Optic,Credit Card,Yes,0,0
CUST-00098,35,Month-to-Month,64.4,2055.64,No,DSL,Electronic Check,No,1,1
CUST-00099,22,Two Year,15.0,325.83,No,Fiber Optic,Bank Transfer,Yes,2,0
CUST-00100,71,Two Year,67.71,4348.74,No,Fiber Optic,Bank Transfer,Yes,2,0
CUST-00101,71,One Year,95.69,6318.14,No,DSL,Bank Transfer,No,0,0
CUST-00102,24,Month-to-Month,110.57,2425.43,No,Fiber Optic,Electronic Check,No,0,1
CUST-00103,16,Two Year,22.64,350.84,No,Fiber Optic,Bank Transfer,No,2,0
CUST-00104,39,One Year,49.97,1853.79,No,No,Bank Transfer,Yes,0,0
CUST-00105,27,One Year,48.64,1305.31,Yes,DSL,Credit Card,Yes,3,0
CUST-00106,72,Month-to-Month,73.64,4966.02,No,DSL,Credit Card,No,1,0
CUST-00107,31,Month-to-Month,39.51,1107.32,Yes,Fiber Optic,Electronic Check,No,1,0
CUST-00108,3,Month-to-Month,112.06,328.17,Yes,Fiber Optic,Electronic Check,Yes,1,1
CUST-00109,10,Two Year,71.09,681.01,Yes,DSL,Bank Transfer,Yes,1,0
CUST-00110,6,Month-to-Month,66.92,394.59,Yes,Fiber Optic,Mailed Check,No,1,0
CUST-00111,28,Month-to-Month,109.82,2898.5,No,No,Bank Transfer,Yes,0,0
CUST-00112,23,Month-to-Month,69.6,1558.89,Yes,DSL,Credit Card,No,5,1
CUST-00113,62,One Year,80.01,4549.42,Yes,Fiber Optic,Electronic Check,Yes,0,0
CUST-00114,65,Month-to-Month,51.23,3329.79,No,DSL,Credit Card,No,2,1
CUST-00115,11,Two Year,35.74,360.65,No,No,Electronic Check,Yes,0,0
CUST-00116,69,One Year,54.74,3712.77,Yes,No,Credit Card,Yes,1,0
CUST-00117,43,One Year,124.67,4938.61,Yes,Fiber Optic,Mailed Check,No,1,0
CUST-00118,23,Month-to-Month,85.83,1931.16,Yes,No,Credit Card,No,1,0
CUST-00119,30,One Year,76.86,2273.81,No,DSL,Electronic Check,Yes,1,0
CUST-00120,32,One Year,45.59,1440.88,Yes,Fiber Optic,Mailed Check,Yes,0,0
CUST-00121,13,One Year,92.78,1142.9,No,Fiber Optic,Electronic Check,Yes,3,1
CUST-00122,63,Month-to-Month,36.06,2142.02,Yes,No,Bank Transfer,No,0,0
CUST-00123,1,Month-to-Month,30.82,30.31,No,Fiber Optic,Credit Card,Yes,1,1
CUST-00124,6,Month-to-Month,56.03,322.04,Yes,DSL,Credit Card,Yes,0,0
CUST-00125,20,Month-to-Month,118.86,2287.17,No,DSL,Bank Transfer,Yes,0,0
CUST-00126,11,Month-to-Month,117.45,1193.25,Yes,DSL,Electronic Check,No,0,1
CUST-00127,5,Month-to-Month,58.72,277.34,Yes,No,Credit Card,Yes,1,0
CUST-00128,28,Month-to-Month,53.15,1394.36,No,Fiber Optic,Electronic Check,No,0,1
CUST-00129,28,One Year,28.99,784.55,No,Fiber Optic,Bank Transfer,No,0,0
CUST-00130,10,Month-to-Month,71.95,661.69,Yes,DSL,Electronic Check,No,1,1
CUST-00131,59,Two Year,74.05,4109.33,No,Fiber Optic,Credit Card,Yes,0,0
CUST-00132,64,One Year,89.74,5656.48,Yes,Fiber Optic,Mailed Check,Yes,1,0
CUST-00133,52,Month-to-Month,92.77,4605.24,No,Fiber Optic,Mailed Check,No,1,1
CUST-00134,38,One Year,65.06,2446.58,Yes,Fiber Optic,Electronic Check,Yes,2,1
CUST-00135,69,Month-to-Month,83.9,5344.8,Yes,DSL,Bank Transfer,No,1,0
CUST-00136,26,Two Year,52.48,1288.06,Yes,DSL,Electronic Check,Yes,1,0
CUST-00137,31,Month-to-Month,83.43,2457.12,Yes,No,Credit Card,No,0,0
CUST-00138,2,One Year,57.32,107.77,No,Fiber Optic,Credit Card,No,1,0
CUST-00139,51,Month-to-Month,81.49,4024.87,Yes,Fiber Optic,Credit Card,No,0,0
CUST-00140,7,Month-to-Month,79.46,508.87,Yes,No,Mailed Check,No,1,0
CUST-00141,48,Month-to-Month,71.72,3277.11,No,Fiber Optic,Bank Transfer,Yes,0,1
CUST-00142,57,Two Year,89.86,4680.9,Yes,Fiber Optic,Mailed Check,Yes,2,0
CUST-00143,16,One Year,30.74,473.6,Yes,Fiber Optic,Credit Card,Yes,1,0
CUST-00144,45,Month-to-Month,43.38,1918.96,No,DSL,Electronic Check,No,2,0
CUST-00145,22,Month-to-Month,63.25,1255.13,Yes,DSL,Electronic Check,Yes,1,0
CUST-00146,29,Month-to-Month,33.92,930.26,No,No,Mailed Check,Yes,1,0
CUST-00147,39,Month-to-Month,59.83,2215.0,No,Fiber Optic,Mailed Check,Yes,2,1
CUST-00148,18,Month-to-Month,60.63,1060.81,Yes,DSL,Credit Card,No,2,1
CUST-00149,58,Month-to-Month,102.74,5407.55,No,No,Electronic Check,No,3,1
CUST-00150,29,Two Year,73.56,2006.53,Yes,DSL,Bank Transfer,No,2,0
CUST-00151,34,Two Year,95.74,3185.33,No,Fiber Optic,Electronic Check,Yes,0,0
CUST-00152,59,Month-to-Month,77.54,4360.82,No,Fiber Optic,Electronic Check,No,1,1
CUST-00153,17,One Year,56.61,938.3,No,DSL,Credit Card,Yes,1,1
CUST-00154,33,Month-to-Month,73.34,2266.3,No,DSL,Credit Card,No,0,0
CUST-00155,72,One Year,88.24,6302.51,No,Fiber Optic,Credit Card,No,1,0
CUST-00156,29,Month-to-Month,99.84,2628.22,Yes,Fiber Optic,Mailed Check,Yes,1,0
CUST-00157,9,One Year,66.69,545.66,No,No,Bank Transfer,Yes,1,0
CUST-00158,21,One Year,28.81,576.48,Yes,No,Bank Transfer,Yes,3,0
CUST-00159,69,One Year,27.05,1767.68,No,DSL,Bank Transfer,Yes,0,1
CUST-00160,55,Month-to-Month,61.84,3278.24,No,DSL,Electronic Check,Yes,1,0
CUST-00161,59,Two Year,15.0,816.77,Yes,Fiber Optic,Electronic Check,Yes,1,0
CUST-00162,19,Month-to-Month,114.88,2013.78,Yes,Fiber Optic,Electronic Check,Yes,3,1
CUST-00163,61,Month-to-Month,84.92,5050.16,No,DSL,Bank Transfer,Yes,2,1
CUST-00164,29,One Year,54.11,1458.05,No,DSL,Credit Card,Yes,0,0
CUST-00165,58,Month-to-Month,42.26,2384.24,No,DSL,Bank Transfer,No,0,1
CUST-00166,64,Two Year,95.7,5904.74,Yes,DSL,Electronic Check,No,1,0
CUST-00167,15,Two Year,42.16,574.43,No,Fiber Optic,Credit Card,Yes,1,0
CUST-00168,68,Month-to-Month,44.54,2941.23,Yes,No,Electronic Check,No,1,1
CUST-00169,46,Two Year,50.85,2310.92,No,DSL,Credit Card,No,0,0
CUST-00170,53,Month-to-Month,72.85,3790.26,Yes,Fiber Optic,Mailed Check,Yes,2,0
CUST-00171,55,Month-to-Month,85.52,4237.41,No,Fiber Optic,Bank Transfer,No,0,0
CUST-00172,13,Month-to-Month,99.82,1237.93,No,Fiber Optic,Electronic Check,No,0,1
CUST-00173,54,Two Year,96.12,5145.5,Yes,DSL,Electronic Check,No,0,0
CUST-00174,16,Month-to-Month,70.02,1075.36,No,DSL,Mailed Check,Yes,1,1
CUST-00175,20,Month-to-Month,95.51,1774.64,Yes,DSL,Mailed Check,Yes,3,1
CUST-00176,9,Month-to-Month,53.23,440.48,Yes,Fiber Optic,Electronic Check,Yes,1,1
CUST-00177,14,Two Year,24.48,331.92,Yes,Fiber Optic,Mailed Check,No,3,0
CUST-00178,71,Two Year,53.22,3692.19,Yes,Fiber Optic,Electronic Check,No,2,0
CUST-00179,24,One Year,49.84,1185.7,Yes,Fiber Optic,Credit Card,Yes,0,0
CUST-00180,28,Two Year,54.2,1503.29,No,DSL,Mailed Check,Yes,0,0
CUST-00181,35,Two Year,46.02,1504.28,No,DSL,Mailed Check,Yes,0,0
CUST-00182,52,Month-to-Month,58.47,2920.0,No,DSL,Bank Transfer,No,0,1
CUST-00183,42,Month-to-Month,85.5,3268.36,No,DSL,Credit Card,Yes,0,0
CUST-00184,39,One Year,112.88,4003.67,No,DSL,Electronic Check,Yes,0,0
CUST-00185,61,One Year,26.87,1486.88,Yes,No,Bank Transfer,Yes,0,0
CUST-00186,36,Month-to-Month,37.81,1351.24,No,No,Credit Card,Yes,3,0
CUST-00187,56,Month-to-Month,50.21,2573.44,No,Fiber Optic,Mailed Check,No,0,0
CUST-00188,66,One Year,89.14,5578.68,Yes,Fiber Optic,Electronic Check,Yes,2,0
CUST-00189,49,Month-to-Month,64.88,2998.89,Yes,Fiber Optic,Electronic Check,Yes,0,0
CUST-00190,3,Two Year,51.9,145.19,No,Fiber Optic,Credit Card,No,4,0
CUST-00191,19,Month-to-Month,87.92,1593.26,No,Fiber Optic,Electronic Check,Yes,1,0
CUST-00192,45,Month-to-Month,93.91,3804.53,No,DSL,Electronic Check,Yes,0,1
CUST-00193,35,Two Year,69.53,2282.71,No,No,Credit Card,No,0,0
CUST-00194,21,Month-to-Month,49.59,987.17,Yes,Fiber Optic,Credit Card,No,1,0
CUST-00195,25,Month-to-Month,76.76,1881.25,No,DSL,Mailed Check,Yes,0,0
CUST-00196,6,One Year,64.17,373.51,No,Fiber Optic,Electronic Check,No,3,0
CUST-00197,17,Two Year,63.97,1071.15,Yes,Fiber Optic,Bank Transfer,Yes,3,0
CUST-00198,57,Month-to-Month,57.19,3056.51,Yes,No,Credit Card,No,2,0
CUST-00199,1,Month-to-Month,93.12,85.12,Yes,Fiber Optic,Electronic Check,No,1,1
CUST-00200,61,One Year,76.25,4372.67,No,Fiber Optic,Electronic Check,Yes,1,0
CUST-00201,25,Two Year,95.89,2388.39,No,DSL,Credit Card,No,0,1
CUST-00202,59,Month-to-Month,103.41,5621.84,No,Fiber Optic,Bank Transfer,Yes,1,0
CUST-00203,19,Month-to-Month,81.47,1420.19,Yes,DSL,Mailed Check,Yes,3,1
CUST-00204,60,Month-to-Month,57.34,3421.25,No,DSL,Credit Card,Yes,2,0
CUST-00205,42,Month-to-Month,96.01,4012.23,Yes,Fiber Optic,Bank Transfer,No,1,0
CUST-00206,62,Month-to-Month,81.64,4631.05,No,Fiber Optic,Credit Card,Yes,2,1
CUST-00207,5,One Year,135.08,659.83,No,Fiber Optic,Electronic Check,No,2,1
CUST-00208,58,Month-to-Month,77.75,4252.34,No,Fiber Optic,Mailed Check,Yes,2,0
CUST-00209,20,Month-to-Month,87.44,1660.0,Yes,DSL,Bank Transfer,Yes,1,0
CUST-00210,26,One Year,77.26,1908.06,Yes,Fiber Optic,Mailed Check,No,2,1
CUST-00211,4,One Year,67.52,269.23,Yes,Fiber Optic,Electronic Check,Yes,1,0
CUST-00212,69,Month-to-Month,63.53,4026.16,No,Fiber Optic,Bank Transfer,No,1,0
CUST-00213,47,Two Year,77.36,3553.41,Yes,Fiber Optic,Bank Transfer,No,3,0
CUST-00214,71,One Year,83.03,5308.96,No,DSL,Electronic Check,No,1,0
CUST-00215,41,One Year,98.86,3902.73,Yes,DSL,Mailed Check,Yes,0,0
CUST-00216,12,Month-to-Month,77.72,900.25,No,No,Bank Transfer,Yes,1,1
CUST-00217,25,Month-to-Month,58.43,1424.77,Yes,DSL,Bank Transfer,Yes,1,1
CUST-00218,32,Two Year,61.83,1963.91,Yes,DSL,Mailed Check,No,2,0
CUST-00219,11,Month-to-Month,36.93,396.23,No,DSL,Electronic Check,Yes,3,1
CUST-00220,68,Month-to-Month,111.53,7380.9,Yes,Fiber Optic,Electronic Check,No,3,0
CUST-00221,69,Month-to-Month,56.47,3605.67,Yes,Fiber Optic,Credit Card,No,2,0
CUST-00222,41,One Year,94.19,3859.02,No,Fiber Optic,Credit Card,No,0,0
CUST-00223,43,Two Year,76.91,3131.33,Yes,No,Bank Transfer,No,1,0
CUST-00224,51,Month-to-Month,77.59,3726.57,No,DSL,Bank Transfer,No,2,0
CUST-00225,49,Two Year,67.06,3122.26,No,DSL,Electronic Check,Yes,1,0
CUST-00226,5,Month-to-Month,50.31,236.31,Yes,No,Mailed Check,No,2,1
CUST-00227,39,One Year,45.79,1713.24,Yes,Fiber Optic,Mailed Check,Yes,2,0
CUST-00228,56,One Year,113.21,5927.44,Yes,No,Mailed Check,No,2,0
CUST-00229,59,Month-to-Month,72.85,3971.47,Yes,Fiber Optic,Electronic Check,Yes,0,0
CUST-00230,43,Month-to-Month,98.13,4189.21,Yes,DSL,Electronic Check,No,1,1
CUST-00231,65,Month-to-Month,104.62,6751.22,No,No,Credit Card,Yes,0,0
CUST-00232,43,Two Year,59.73,2439.01,Yes,DSL,Bank Transfer,No,0,0
CUST-00233,28,One Year,80.59,2247.98,No,Fiber Optic,Credit Card,Yes,1,0
CUST-00234,32,Two Year,71.13,2143.17,No,DSL,Bank Transfer,No,1,0
CUST-00235,50,Two Year,41.07,1927.7,Yes,Fiber Optic,Credit Card,Yes,1,0
CUST-00236,64,Month-to-Month,65.36,4148.28,No,Fiber Optic,Electronic Check,Yes,1,0
CUST-00237,17,One Year,84.69,1386.88,Yes,DSL,Electronic Check,No,0,0
CUST-00238,22,Month-to-Month,57.52,1235.39,Yes,No,Bank Transfer,No,0,0
CUST-00239,47,Month-to-Month,61.88,2737.56,No,DSL,Mailed Check,Yes,1,1
CUST-00240,55,Two Year,65.67,3397.67,No,Fiber Optic,Electronic Check,Yes,3,1
CUST-00241,29,One Year,122.79,3234.48,Yes,DSL,Bank Transfer,No,2,1
CUST-00242,47,Month-to-Month,24.15,1131.28,No,Fiber Optic,Electronic Check,Yes,2,0
CUST-00243,1,Month-to-Month,82.54,76.17,No,Fiber Optic,Electronic Check,Yes,1,1
CUST-00244,22,One Year,63.67,1329.9,No,Fiber Optic,Credit Card,No,0,0
CUST-00245,69,Two Year,53.98,3394.85,No,Fiber Optic,Bank Transfer,Yes,0,0
CUST-00246,42,One Year,63.05,2554.61,No,Fiber Optic,Electronic Check,No,1,0
CUST-00247,63,Month-to-Month,86.68,5128.21,No,No,Electronic Check,Yes,1,0
CUST-00248,16,Month-to-Month,88.11,1377.01,No,No,Credit Card,No,0,1
CUST-00249,21,Month-to-Month,74.65,1493.72,No,DSL,Credit Card,Yes,0,0
CUST-00250,71,One Year,97.32,6308.21,No,Fiber Optic,Electronic Check,Yes,0,0
CUST-00251,72,Two Year,101.72,6599.32,Yes,DSL,Mailed Check,No,0,0
CUST-00252,64,Month-to-Month,90.41,5330.54,Yes,DSL,Bank Transfer,No,1,1
CUST-00253,23,Month-to-Month,56.35,1260.32,Yes,Fiber Optic,Electronic Check,No,5,0
CUST-00254,58,Month-to-Month,82.36,4694.96,Yes,Fiber Optic,Mailed Check,No,0,0
CUST-00255,34,One Year,82.48,2619.61,Yes,Fiber Optic,Electronic Check,Yes,1,0
CUST-00256,61,Two Year,49.61,2885.77,No,Fiber Optic,Electronic Check,No,3,0
CUST-00257,62,Month-to-Month,30.76,1762.18,No,Fiber Optic,Bank Transfer,Yes,2,0
CUST-00258,32,Month-to-Month,19.43,614.33,Yes,No,Electronic Check,Yes,2,0
CUST-00259,22,One Year,71.75,1573.01,Yes,DSL,Bank Transfer,Yes,1,0
CUST-00260,71,Month-to-Month,77.45,5363.09,No,Fiber Optic,Electronic Check,Yes,2,1
CUST-00261,33,Two Year,40.46,1213.53,Yes,DSL,Mailed Check,Yes,0,0
CUST-00262,32,Month-to-Month,96.15,2903.61,No,DSL,Credit Card,Yes,1,1
CUST-00263,48,Month-to-Month,73.81,3539.52,No,No,Mailed Check,No,1,0
CUST-00264,68,Two Year,103.74,6510.7,No,DSL,Mailed Check,No,3,0
CUST-00265,10,Month-to-Month,79.26,766.48,Yes,DSL,Mailed Check,Yes,3,1
CUST-00266,71,Month-to-Month,43.34,3058.24,Yes,Fiber Optic,Credit Card,Yes,0,1
CUST-00267,31,Month-to-Month,81.46,2467.99,No,DSL,Bank Transfer,Yes,0,0
CUST-00268,2,Month-to-Month,86.75,166.71,Yes,Fiber Optic,Electronic Check,No,1,0
CUST-00269,23,Month-to-Month,56.31,1231.24,Yes,No,Electronic Check,Yes,0,1
CUST-00270,34,Month-to-Month,33.95,1146.08,Yes,Fiber Optic,Bank Transfer,No,2,0
CUST-00271,49,Month-to-Month,72.51,3337.94,No,Fiber Optic,Bank Transfer,Yes,2,0
CUST-00272,41,Month-to-Month,44.98,1825.97,No,Fiber Optic,Electronic Check,No,2,1
CUST-00273,10,One Year,98.02,924.43,No,No,Mailed Check,No,0,0
CUST-00274,36,One Year,59.82,2101.09,No,DSL,Bank Transfer,Yes,3,0
CUST-00275,17,Month-to-Month,113.12,1906.83,Yes,Fiber Optic,Mailed Check,No,0,1
CUST-00276,20,Month-to-Month,16.9,322.81,No,Fiber Optic,Bank Transfer,Yes,0,0
CUST-00277,52,Month-to-Month,73.37,3551.94,No,Fiber Optic,Electronic Check,Yes,0,0
CUST-00278,58,Two Year,105.73,5550.37,Yes,DSL,Bank Transfer,Yes,1,0
CUST-00279,12,Two Year,47.74,561.95,No,Fiber Optic,Bank Transfer,Yes,0,0
CUST-00280,44,Month-to-Month,66.02,2795.08,Yes,Fiber Optic,Credit Card,No,1,0
CUST-00281,31,Month-to-Month,59.92,1720.63,No,Fiber Optic,Bank Transfer,Yes,0,1
CUST-00282,25,Month-to-Month,52.91,1306.53,Yes,DSL,Mailed Check,No,1,0
CUST-00283,52,Month-to-Month,76.12,3926.69,Yes,DSL,Bank Transfer,No,1,0
CUST-00284,18,One Year,37.61,669.34,No,Fiber Optic,Credit Card,No,0,0
CUST-00285,56,Month-to-Month,67.23,3614.86,No,Fiber Optic,Mailed Check,Yes,1,1
CUST-00286,29,Month-to-Month,82.9,2398.47,Yes,No,Mailed Check,Yes,0,1
CUST-00287,7,Month-to-Month,64.62,446.68,No,Fiber Optic,Electronic Check,No,3,1
CUST-00288,58,Month-to-Month,44.99,2375.68,No,DSL,Bank Transfer,Yes,0,0
CUST-00289,62,Month-to-Month,95.75,5925.28,Yes,Fiber Optic,Mailed Check,No,1,0
CUST-00290,41,Two Year,88.26,3455.39,No,Fiber Optic,Electronic Check,Yes,0,0
CUST-00291,53,Month-to-Month,43.97,2311.78,No,Fiber Optic,Bank Transfer,Yes,1,0
CUST-00292,11,Two Year,37.65,404.22,No,Fiber Optic,Credit Card,No,0,0
CUST-00293,25,Month-to-Month,46.2,1114.29,No,DSL,Electronic Check,No,0,0
CUST-00294,26,Two Year,83.63,2027.97,No,DSL,Mailed Check,Yes,1,0
CUST-00295,55,Two Year,76.89,3817.49,No,DSL,Credit Card,No,2,0
